,order_id,cpf,order_value,charges,discount_value,voucher,order_status,order_date
0,1392238c-2a8f-4537-b766-c966794e87fb,312.654.897-00,748.74,19.38,93.87,maiores,await_payment,2024-09-17
1,11254c34-5bdc-4e4a-8b28-b2056feab6d3,438.271.056-17,261.51,83.55,10.0,ipsum,production,2024-12-03
2,c337b81b-38d4-4f99-bb71-84727f59a434,390.627.154-43,112.08,39.11,10.0,nam,invoiced,2024-03-31
3,451c45e2-2f1f-4d25-b976-d415a93af03f,614.932.780-96,1390.37,102.95,10.0,numquam,invoiced,2024-05-15
4,82d96626-0e24-4be7-8c67-357dce222f33,239.765.408-38,286.97,68.87,146.72,corporis,invoiced,2024-05-29
5,26307e45-358d-4330-9bda-106b87f66a82,347.205.691-61,689.24,33.05,10.0,sint,await_payment,2024-08-26
6,93d1e95a-2b0a-4c9d-a6a8-c762a31ba028,156.324.789-55,778.42,139.41,10.0,quo,production,2024-11-26
7,05dc15aa-b484-426c-894e-8e3f14df2e65,208.345.167-80,336.63,65.35,10.0,adipisci,pending,2024-11-03
8,f2273a24-265a-4ef6-bd6c-05084190fa53,072.364.891-31,501.38,75.5,142.17,consequuntur,invoiced,2025-02-07
9,08293153-8976-49b5-bbd6-c4ee91818ff7,936.085.417-48,339.66,126.78,102.23,dolor,invoiced,2024-07-06
10,03aab59a-6a11-4afe-81cd-0690dd7c2d99,496.078.253-65,368.19,96.69,53.48,enim,invoiced,2024-07-16
11,f9a19a12-b3fd-423c-856a-08494dc5b23f,683.107.254-26,1217.38,32.4,10.0,quis,invoiced,2024-11-10
12,21e8655c-19b6-4001-ab17-5778d19f2258,843.670.259-00,1473.83,40.91,54.28,provident,invoiced,2024-12-08
13,373e0542-9079-4c0b-b847-d1f626157684,916.785.320-02,1456.05,47.94,10.0,deleniti,pending,2024-03-31
14,c570a213-83be-48f7-b9ca-5285fce45f82,391.784.520-23,1325.97,136.15,10.0,aliquid,invoiced,2024-12-09
15,26a6e151-18fe-42ce-b383-4bb571e24821,210.653.894-42,1376.08,126.25,88.11,reprehenderit,production,2024-08-02
16,96dd5e0e-48e6-48a2-9d40-752b83d563b6,385.701.264-17,165.58,131.56,168.49,quam,pending,2024-04-12
17,0588bbfc-4c48-4e7d-ad0c-30b386139f82,213.794.586-09,331.92,88.64,198.55,quod,production,2024-12-26
18,f4c1d0bd-6dff-448f-949a-82b794e74d4a,386.042.571-44,1291.49,76.96,74.5,exercitationem,invoiced,2024-08-18
19,b59ffacf-b671-4cf3-af9c-1e248caae689,180.926.453-70,1296.99,21.6,122.27,ut,invoiced,2024-07-22
20,326cb1e3-d51d-445f-a3c7-5de7f490252f,814.295.073-14,1089.88,41.77,163.4,optio,invoiced,2025-01-13
21,baceba13-7f2a-49ab-be9b-d0effd518505,503.619.472-16,1341.01,124.46,10.0,maiores,invoiced,2025-02-12
22,4daa9a90-a570-48ff-bbc0-d74a900ed2cd,895.731.642-64,1029.11,76.26,10.0,quod,invoiced,2025-02-28
23,a3f313f6-cce6-484a-9c91-c07651f5eb7a,036.281.495-33,100.89,100.91,10.0,tempora,await_payment,2024-04-10
24,8a03c248-bbc3-408a-abc4-217e4be6059b,714.390.825-88,246.49,109.72,10.0,quas,await_payment,2024-05-08
25,a708bae2-40e6-4394-8528-2ff687427d54,289.315.706-86,986.66,28.29,42.59,nihil,production,2024-04-28
26,a8565cc7-5e21-46f5-a48b-9c78367b41ae,136.920.874-03,1307.13,74.01,49.66,nisi,invoiced,2024-10-03
27,ee304803-6762-4d33-8b67-3b924d6f722c,968.310.457-66,683.87,91.72,167.63,voluptate,invoiced,2024-05-18
28,bce842bf-8be0-4ebc-b11e-9fe123c8bca4,568.923.170-30,713.49,75.04,77.7,architecto,canceled,2024-07-13
29,24adf829-d9e7-4b04-a908-2d334c5ab539,579.281.630-12,753.75,146.89,10.0,aliquam,canceled,2024-11-27
30,9f5143fd-0ef7-4131-980d-7e5e0c723d68,165.087.239-95,1297.46,62.14,84.39,mollitia,pending,2025-02-04
31,40dbfff4-7fda-4e64-b09c-5b97710e9891,147.630.529-34,1006.22,117.26,10.0,ut,invoiced,2024-11-29
32,16c1d315-aa02-4085-9f93-2a3711353d96,486.907.231-96,1109.68,37.7,10.0,officia,pending,2024-12-10
33,b2d9caeb-e545-48b0-b2f0-89bcc82adecc,031.529.678-02,175.77,140.64,10.0,culpa,await_payment,2025-01-08
34,55c088de-e9e2-4397-b9aa-ba6ae6c34a44,739.582.614-00,584.58,121.87,10.0,totam,invoiced,2024-07-19
35,2196ceaf-a961-4ec2-be8a-d13fd66ce495,784.052.319-60,277.81,40.73,49.86,dolorum,await_payment,2024-06-16
36,42948574-6f99-4cd6-9a4d-4c9dba2a508c,062.143.785-90,1327.13,100.6,10.0,optio,invoiced,2025-02-14
37,eb74a0fe-13f9-4489-b98c-d58f9a85546c,265.730.148-71,232.09,72.84,160.37,quasi,pending,2024-08-30
38,89f6de13-10d6-4b86-ab52-3703a1061d50,728.954.130-88,497.16,99.48,41.34,assumenda,invoiced,2024-06-07
39,9440d8b7-7886-48ab-9c53-6261c3159e48,892.730.164-13,1458.82,42.56,10.0,quaerat,invoiced,2024-04-29
40,0de11da6-fd36-4c66-8e72-16c7a91e1172,549.318.760-48,582.28,118.35,10.0,itaque,invoiced,2024-05-17
41,fe1471be-8712-4299-b3d9-2de843b45d73,536.198.027-77,357.23,75.5,10.0,quaerat,invoiced,2025-01-29
42,1a26d614-a6f4-4a42-8a99-f4007381ffa1,021.584.639-70,162.04,52.09,83.66,voluptates,invoiced,2024-10-29
43,a223a7a5-a8dc-463c-8f09-df0b9fd3f679,815.607.342-80,1011.9,33.23,38.23,accusantium,invoiced,2024-11-18
44,33449c26-35f0-4e58-8b6b-6ade43328ed5,408.395.267-92,970.73,12.33,10.0,voluptates,invoiced,2025-02-18
45,bd0dc62a-1fb7-4270-8d2b-d0243f345c07,795.032.841-04,939.77,63.07,105.96,doloribus,await_payment,2025-02-12
46,16ef2e26-c47c-47b8-bbcc-6c5796e420b0,612.304.958-51,1122.3,131.13,10.0,itaque,await_payment,2024-03-21
47,1d7a82e5-0cf2-468f-bbc3-2035793da1d4,729.084.536-65,665.86,94.18,199.04,vel,invoiced,2024-12-20
48,b795ee4c-6730-461c-a308-40c80390cdbf,418.390.652-06,610.18,92.46,149.72,debitis,invoiced,2024-05-12
49,26b01ddf-f669-4d86-b571-71aa231b7f90,276.159.483-55,834.01,76.32,124.53,assumenda,pending,2024-11-12
50,b72e7e0e-5bdd-4539-9ef0-56b7e90c190e,521.436.078-90,577.32,44.33,10.0,sapiente,invoiced,2024-12-08
51,af12b01e-2715-4196-adcb-d4e90589d720,684.017.923-04,784.48,132.05,10.0,unde,pending,2024-07-08
52,55e67931-0846-4c7a-bb93-f0ab39cb55ec,485.172.630-90,1076.97,130.36,10.0,incidunt,invoiced,2024-11-16
